tenure_months,monthly_charges,total_charges,num_products,has_internet,has_phone,contract_type,payment_method,support_calls,late_payments,avg_monthly_spend,charges_per_product,customer_value,service_usage_score,churn
52,40.36,2113.76,3,1,1,Month-to-Month,Mailed check,1,0,40.65,13.453333333333333,6341.280000000001,5,0
15,104.05,1625.13,4,1,1,Month-to-Month,Mailed check,1,1,108.34,26.0125,6500.52,6,0
61,37.42,2113.94,4,1,1,One Year,Electronic check,0,1,34.65,9.355,8455.76,6,0
21,116.08,2505.42,1,1,1,One Year,Credit card,0,1,119.31,116.08,2505.42,3,1
24,61.59,1471.35,2,1,1,Month-to-Month,Credit card,1,1,61.31,30.795,2942.7,4,1
3,104.62,344.45,3,1,1,Month-to-Month,Mailed check,2,0,114.82,34.873333333333335,1033.35,5,1
22,82.88,1902.67,3,1,1,Two Year,Electronic check,2,1,86.48,27.626666666666665,5708.01,5,1
53,93.54,5113.76,1,1,1,Month-to-Month,Mailed check,4,1,96.49,93.54,5113.76,3,1
2,96.77,196.27,3,1,0,One Year,Mailed check,0,1,98.14,32.25666666666667,588.8100000000001,4,0
30,70.48,2324.73,3,1,1,Two Year,Bank transfer,1,2,77.49,23.493333333333336,6974.1900000000005,5,0
38,74.33,3095.96,2,0,1,Month-to-Month,Credit card,5,0,81.47,37.165,6191.92,3,0
2,71.4,143.89,2,0,1,One Year,Electronic check,4,1,71.94,35.7,287.78,3,0
64,78.81,4998.63,1,1,1,Two Year,Bank transfer,0,0,78.1,78.81,4998.63,3,0
60,22.94,1365.97,2,0,1,Month-to-Month,Credit card,2,0,22.77,11.47,2731.94,3,1
21,59.55,1232.63,1,1,1,Month-to-Month,Mailed check,2,2,58.7,59.55,1232.63,3,1
33,80.62,2677.17,4,1,1,Month-to-Month,Electronic check,5,1,81.13,20.155,10708.68,6,1
58,79.77,4417.15,1,1,1,Month-to-Month,Credit card,0,0,76.16,79.77,4417.15,3,0
22,99.3,2371.07,4,1,1,Two Year,Mailed check,0,0,107.78,24.825,9484.28,6,0
49,85.5,4181.31,1,1,1,Two Year,Bank transfer,2,0,85.33,85.5,4181.31,3,0
59,119.21,7514.48,3,1,1,One Year,Electronic check,1,2,127.36,39.736666666666665,22543.44,5,0
42,48.39,2022.34,2,1,1,Month-to-Month,Credit card,3,1,48.15,24.195,4044.68,4,0
60,55.92,3501.68,4,1,1,Month-to-Month,Bank transfer,0,1,58.36,13.98,14006.72,6,0
15,58.38,847.13,1,1,1,One Year,Mailed check,3,0,56.48,58.38,847.13,3,0
62,66.58,4231.0,2,0,1,Month-to-Month,Mailed check,1,1,68.24,33.29,8462.0,3,0
62,103.6,6421.11,1,1,1,One Year,Credit card,3,0,103.57,103.6,6421.11,3,0
